"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
6.5989,0.23117,-0.0099621,0.20457,0.90084,0.028029,8.1834,232.22,33.649,0
6.6199,0.32321,-0.01139,0.20902,0.91581,0.028245,5.1284,246.21,33.734,0
6.3887,0.28497,0.0040861,0.1604,1.2162,0.061277,2.9255,260.18,33.79,0
6.0029,0.21746,0.055339,0.12748,1.3177,0.093732,1.9746,274.14,33.827,0
5.6767,0.19542,0.054894,0.096249,1.3978,0.12468,1.4234,288.1,33.858,0
5.5061,0.13991,0.055843,0.083995,1.2892,0.12008,1.0933,302.06,33.882,0
5.3377,0.093158,0.048793,0.069741,1.1451,0.11356,0.53168,316.03,33.898,0
5.2448,0.076183,0.042382,0.061493,1.0538,0.10932,0.18984,330,33.906,0
9.9719,-0.11258,0.026917,0.20311,1.4681,0.066994,104.65,-20,48.009,0
9.6896,-0.49532,0.10957,0.18061,1.3553,0.064529,106.01,-5.9817,48.02,0
8.6917,-1.0191,0.15119,0.28095,1.1458,0.031356,113.49,7.9912,48.042,0
8.2821,-2.3137,0.18108,0.20558,0.93098,0.028476,115.65,21.83,48.132,0
12.72,1.0141,0.14562,0.58051,1.3921,0.02638,63.361,36.242,48.39,0
12.084,0.4514,0.25504,0.88647,2.3582,0.043758,63.629,49.829,47.791,0
9.4489,-5.0782,0.23789,1.8296,3.2976,0.040038,45.263,63.652,47.629,0
1.3917,8.9984,-0.66485,1.9497,2.7466,0.024712,66.104,77.736,47.873,0
2.6226,-3.1122,0.05922,0.39244,0.93353,0.015135,7.6073,92.168,48.195,0
2.4716,-0.65286,-0.26842,0.23974,1.0251,0.030837,12.379,106.04,48.638,0
1.9515,-0.76282,-0.29523,0.24459,1.0092,0.030285,19.009,120.23,48.219,0
1.5348,-1.1166,0.11139,0.13902,0.68923,0.025084,21.879,133.9,47.785,0
2.5666,-1.2314,0.01959,0.14754,0.72898,0.025617,21.919,147.86,47.452,0
3.064,-0.85012,-0.055044,0.14272,0.70397,0.025079,22.323,161.82,47.429,0
3.3101,-0.91531,-0.069523,0.16,0.76023,0.025859,21.967,175.74,47.477,0
4.2062,-1.0495,-0.14525,0.20121,0.89752,0.027968,17.889,189.77,47.496,0
5.3084,-1.2849,-0.094145,0.29367,0.89912,0.02159,11.833,203.59,47.382,0
6.0206,0.032951,-0.0444,0.25321,0.84386,0.021251,6.2196,218.11,47.587,0
5.547,0.20787,0.010813,0.25227,1.0209,0.029678,6.0407,232.4,47.538,0
5.5134,0.47896,0.023885,0.21478,0.92862,0.028428,3.9121,246.28,47.701,0
5.0574,0.56808,0.03234,0.18897,1.3405,0.064093,2.5468,260.21,47.762,0
4.849,0.50074,-0.01957,0.14158,1.4096,0.096575,1.8737,274.15,47.804,0
4.5955,0.42785,-0.055806,0.098742,1.4307,0.126,1.3446,288.11,47.842,0
4.5249,0.3551,-0.047348,0.079548,1.2473,0.1182,1.0759,302.07,47.871,0
4.4351,0.28787,-0.047042,0.06345,1.0738,0.11017,0.56157,316.03,47.89,0
4.3822,0.25642,-0.047923,0.055358,0.97944,0.10565,0.24401,330,47.9,0
9.9739,-0.084094,0.030755,0.20283,1.4678,0.067049,108.73,-20,61.97,0
9.7177,-0.34797,0.12918,0.18057,1.3563,0.064599,109.97,-6.0291,61.992,0
8.4758,-0.3935,0.19042,0.28114,1.1467,0.031381,119.01,7.8957,62.038,0
4.4439,-0.25807,0.33221,0.19487,0.88477,0.027819,142.4,21.826,62.055,0
-2.3062,1.1681,0.12919,1.1928,2.9579,0.04859,61.58,49.913,62.007,0
-0.088408,-2.0156,0.13465,0.18637,0.50882,0.011292,-3.1461,77.409,61.985,0
-1.4283,-0.025924,0.026935,0.13833,0.58578,0.018601,18.71,120.02,62.015,0
-0.07261,-2.2938,-0.22227,0.21391,0.91796,0.028531,22.029,133.59,61.836,0
-0.70609,-0.13632,-0.34934,0.15002,0.57865,0.01751,22.125,161.85,61.407,0
0.8035,-0.3386,-0.61216,0.24319,0.82784,0.020772,23.127,175.85,61.434,0
0.27128,0.39679,-0.065114,0.089751,0.31461,0.0090786,16.974,190.03,61.638,0
